region,province,name,tc,cres,csor,istat,area,pop,alt,isle,sea,pden,wden,urb,fee,d_fee,sample,organic,paper,glass,wood,metal,plastic,raee,texile,other,msw_so,msw_un,msw,sor,geo,roads,s_wteregio,s_landfill,gdp,proads,wage,finance
Abruzzo,Teramo,Silvi,211.1999969482422,100.1800003051758,71.97000122070313,67040,20.6299991607666,15401,2,0,1,746.5341796875,449430.40625,2,STANDARD,0,0,2.278858066584848,10.55830998013428,9.433603088263066,,.1610267922481508,1.060533454906944,.4078518518997872,,2.992250976595678,4822259,4449490,9271749,52.01,1,142,0,37.24168014526367,7.409128189086914,4.711085796356201,9.236328125,7.631402034759522
Toscana,Livorno,Campo nell'Elba,604.6799926757813,172.2700042724609,232.5700073242188,49003,55.79000091552734,4553,2,1,1,81.60960388183594,81291.75,3,STANDARD,0,1,22.54178199431257,11.59073986162226,9.974936426014168,4.024459860907859,3.74531422295534,5.60831368913892,1.869349698705721,.2553322659944828,7.527759666630432,3044887,1490380,4535267,67.14,,,,,,,,
Veneto,Venezia,Venezia,366.7699890136719,133.7700042724609,61.09999847412109,27042,415.8900146484375,261362,2,0,1,628.440185546875,420329.46875,1,STANDARD,0,1,,13.1836799033982,11.01326686697005,2.356982143005466,1.641519597401598,3.194883900441224,.8225108343975123,.5782782517339258,.1930995944942266,107766938,67043890,174810828,61.65,3,1205,9.898176193237305,11.29678535461426,8.029497146606445,5.384257316589355,9.79179573059082,8.270382061004639
Emilia_Romagna,Ferrara,Riva del Po,215.7599945068359,45.75,45.59000015258789,38029,111.8199996948242,8508,2,0,0,76.08657073974609,37506.81640625,3,PAYT,1,1,18.8206423825206,8.549021795836541,8.626584759414136,.2474003412484275,.7113951986784969,4.985321930409356,,.7691203554019397,7.517646587563412,3323652,870360,4194012,79.25,,,,,,,,
Campania,Napoli,Ischia,316.8299865722656,88.08999633789063,56.81999969482422,63037,8.140000343322754,18688,2,1,1,2295.822998046875,1854101.625,2,STANDARD,0,0,,4.48199449947881,4.810239439908383,,1.100508415235548,2.751307480300666,1.118053683751041,.1867166415281664,8.865966075083678,8166228,6926160,15092388,54.11,,,,,,,,
Toscana,Lucca,Viareggio,322.25,65.87999725341797,154.5099945068359,46033,32.52999877929688,61857,2,0,1,1901.537109375,1408509,2,STANDARD,0,1,,10.07537343079144,7.450850194717024,5.404539420698029,1.119789305690647,4.180306083105891,.8950453043312049,.4411508132535472,2.720344169657179,31985788,13373280,45818798,69.81,2,158,12.07579040527344,31.49303817749023,7.813701152801514,5.973567962646484,9.651617050170898,8.048112187385559
Liguria,La Spezia,Levanto,327,117.3300018310547,91.93000030517578,11017,36.81000137329102,5509,3,0,1,149.6604156494141,104854.8984375,3,STANDARD,0,0,20.95339311849676,14.09743584296122,12.39627132511803,6.285188857501951,3.193893632913777,6.676980052123101,1.857601181850756,.4970581979107752,4.168915324963618,2706689,1153020,3859709,70.13,3,53,0,16.86346435546875,7.660163402557373,4.619405269622803,9.700577735900879,7.889968304634094
Veneto,Venezia,Noventa di Piave,140.2400054931641,43.90000152587891,54.25,27027,18,6843,3,0,0,380.1666564941406,215162.21875,2,STANDARD,0,1,43.45671999421625,13.5693481920618,11.31014841514929,.5518058725715997,1.481027235264348,3.191571217582599,.2730239715770013,,4.419197917850098,3030670,842250,3872920,78.25,3,68,9.898176193237305,11.29678535461426,6.916872978210449,4.634276390075684,9.609413146972656,7.124379167556762
Liguria,La Spezia,La Spezia,248.8800048828125,36.91999816894531,47.25,11015,51.40000152587891,92659,3,0,1,1802.704223632813,881934.75,1,PAYT,1,0,1.406059210815415,14.33877205952036,9.56499117345645,4.475283913278041,1.471938421203753,6.895658837105755,1.407788694506295,,3.151897993640088,33943418,11388030,45331448,74.88,3,403,0,16.86346435546875,7.561849594116211,5.439743995666504,9.699563980102539,7.788705081939698
Abruzzo,Chieti,Francavilla al Mare,179.1000061035156,63.22000122070313,28.22999954223633,69035,23.11000061035156,23816,3,0,1,1030.549560546875,566089.9375,2,STANDARD,0,0,3.636123479142376,11.20426553691966,7.477409047418814,1.966085728247831,.6054345480574995,6.857451102589529,.8927302678825247,.8780004859987194,8.817429360300173,9196129,3886210,13082339,70.29000000000001,1,125,0,37.24168014526367,7.355687141418457,5.32449197769165,9.462967872619629,7.576357755661011
Toscana,Livorno,Livorno,225.0399932861328,51.11999893188477,67.73000335693359,49009,104.7099990844727,157052,3,0,1,1499.875854492188,780621.125,1,STANDARD,0,1,,11.79130048313141,6.669041465943032,3.616431395807217,.9194515341654355,5.016319170086563,.9354598361185413,.1385877298622718,.1714166771003033,55899873,25838965,81738838,68.39,2,453.4200134277344,12.07579040527344,31.49303817749023,7.515308380126953,5.855876922607422,9.677013397216797,7.740767631530762
Sicilia,Trapani,Trapani,216.0200042724609,64.58000183105469,82.69000244140625,81021,273.1300048828125,69241,3,0,1,253.5093078613281,113379.8359375,1,STANDARD,0,0,1.586363171946169,11.45680901705908,6.905447386732308,2.002503533066154,.4951330165015922,5.712587893941236,1.115688105402075,.1981113321748691,1.459352333851598,17821786,13145650,30967436,57.55,1,243,0,76.68603515625,7.067667007446289,5.63805627822876,9.22783088684082,7.279697017669678
Veneto,Venezia,San Donà di Piave,129.0599975585938,34.36999893188477,59.27000045776367,27033,78.87999725341797,40646,3,0,1,515.2890625,255585.640625,2,PAYT,1,1,,15.06642041070712,13.15980009518568,2.347768009823123,2.190728993861541,3.810457975074645,1.094476626309888,.5016220999429828,5.116312291378304,17199525,2961070,20160595,85.31,3,235,9.898176193237305,11.29678535461426,6.984672546386719,5.180922508239746,9.71226978302002,7.19421272277832
Emilia_Romagna,Rimini,Misano Adriatico,313.3900146484375,74.30000305175781,149.1399993896484,99005,22.35000038146973,12252,3,0,1,548.1879272460938,596842.5,2,PAYT,1,1,,10.4168019173233,6.912244376258955,4.394970399784699,.6451400097305506,6.253340659983222,.9131874450407551,.0080888013955619,11.7764102364194,11317720,2021710,13339430,84.84,3,103,33.10504913330078,15.23353004455566,7.328555583953857,4.858030796051025,9.532702445983887,7.548412251472473
Emilia_Romagna,Ferrara,Masi Torello,239.1000061035156,55.54000091552734,51.72999954223633,38012,22.70999908447266,2368,3,0,0,104.2712478637695,46251.125,3,PAYT,1,1,44.0714305435359,11.84999852431969,8.285706941314574,.0000135191357654,.7517401127038938,5.274176641789553,,.7088025758713893,4.388387633608572,791383,258980,1050363,75.34,3,58,33.10504913330078,15.23353004455566,6.639996528625488,3.674773931503296,9.687407493591309,6.839196424484253
Veneto,Padova,Codevigo,109.5800018310547,34.43000030517578,41.11000061035156,28033,70.01999664306641,6453,3,0,1,92.15938568115234,37357.76953125,3,PAYT,1,1,30.48293995965274,13.45501226971115,8.440659058770368,3.218147015568139,2.762376657768147,7.922880688862374,1.443158111638124,.4849393548643604,9.111851826082436,2022581,593210,2615791,77.31999999999999,3,10,9.898176193237305,11.29678535461426,6.285788059234619,6.471263885498047,9.472474098205566,6.474361701011658
Veneto,Venezia,Cona,130.9499969482422,46.40999984741211,76.01999664306641,27010,65.11000061035156,3175,3,0,1,48.76362991333008,18647.626953125,3,STANDARD,0,1,45.14774570130305,11.84535315740186,8.105525937139408,2.11341789750335,1.699629451787963,8.111867838078915,1.271674681896014,,7.558228122294912,1042387,171760,1214147,85.84999999999999,3,63,9.898176193237305,11.29678535461426,6.859356880187988,3.837677478790283,9.483604431152344,7.065137586593628
Emilia_Romagna,Ferrara,Portomaggiore,225.7899932861328,47.20000076293945,45.34999847412109,38019,126.6399993896484,12185,3,0,0,96.21762847900391,47462.80859375,2,PAYT,1,1,,9.690884074873267,8.227341619680935,5.117715270626168,1.321329165203995,4.708028529170527,.8715804674671294,.5016063047670067,11.97677804045792,4795180,1215510,6010690,79.78,3,270,33.10504913330078,15.23353004455566,7.700410842895508,3.767908811569214,9.586071968078613,7.931423168182373
Friuli_Venezia_Giulia,Trieste,Muggia,150.8600006103516,56.33000183105469,75.45999908447266,32003,13.85000038146973,13022,3,0,1,940.216552734375,437804.03125,2,STANDARD,0,1,25.04151833584945,9.941476875235216,8.847404819524288,6.277308510178631,1.493505658202918,6.91603945256157,1.59595328572894,,4.727186189822326,3931654,1929173,6063586,64.84,3,60,17.46755027770996,4.897195816040039,7.629928588867188,5.386862277984619,9.763699531555176,7.858826446533203
Emilia_Romagna,Rimini,Bellaria-Igea Marina,291.3800048828125,83.43000030517578,123.4700012207031,99001,18.17000007629395,18591,3,0,1,1023.170043945313,911072.625,2,STANDARD,0,1,,9.833546673077933,7.15588017293507,3.171692483896826,.5820218325390732,5.470717685371499,.5308625792020026,.0860023957680805,7.819367785436798,11048902,5505288,16554190,66.73999999999999,3,143,33.10504913330078,15.23353004455566,7.54371166229248,4.914406776428223,9.504884719848633,7.770023012161255
Emilia_Romagna,Ferrara,Codigoro,237,48.81999969482422,48.79000091552734,38005,169.2700042724609,12389,3,0,1,73.19075775146484,38016.12890625,2,PAYT,1,1,,10.49729681009605,8.314636075580536,.2689514669020465,.6984626238735414,4.96328665623412,.0693085770141057,.2312202505365199,7.411122628007191,4934350,1500640,6434990,76.68000000000001,3,142,33.10504913330078,15.23353004455566,7.005743026733398,4.414929866790771,9.591435432434082,7.2159153175354
Friuli_Venezia_Giulia,Udine,Torviscosa,117.3099975585938,45.08000183105469,56.20000076293945,30123,48.61999893188477,2969,3,0,1,61.06540679931641,30421.966796875,3,STANDARD,0,1,38.05928676317476,8.662606583932565,6.632677896797817,3.586601726977465,,5.318041316570167,.7753279661635735,,4.967967353473291,1006331,449100,1479116,68.04000000000001,3,30,17.46755027770996,4.897195816040039,7.294804573059082,4.551468849182129,9.605278968811035,7.513648710250854
Toscana,Grosseto,Orbetello,318.1400146484375,115.1600036621094,34.75,53018,226.8099975585938,14705,3,0,1,64.83399963378906,50266.29296875,3,STANDARD,0,1,3.377637445752081,6.232158203678342,2.637458908938576,.119069568028764,.4155549852301108,1.772693694830004,.4357112922157535,.3548843257785483,4.935049853090519,2312127,9061701,11400898,20.28,2,305,12.07579040527344,31.49303817749023,7.495195388793945,3.878279685974121,9.564510345458984,7.720051250457764
Veneto,Padova,Agna,118.3600006103516,39.36999893188477,47,28002,18.79999923706055,3400,3,0,0,180.85107421875,77226.703125,3,PAYT,1,1,32.20857078703072,11.44530265273146,9.896257357792958,4.70981401813671,3.248380355708738,6.361899409172497,1.624603440271872,.1997435017928701,11.11421057924238,1173232,278630,1451862,80.81,3,45,9.898176193237305,11.29678535461426,6.296093940734863,4.293008804321289,9.423198699951172,6.484976758956909
Toscana,Livorno,Marciana Marina,557.1900024414063,149.0500030517578,195.1999969482422,49011,5.860000133514404,1946,3,1,1,332.0819091796875,297751.875,3,STANDARD,0,1,28.91176541385789,12.74270328388046,10.03595774019874,5.156961209885685,2.492340210427859,5.561012960604668,2.013381276986931,.6017792031984851,7.025972790410047,1300626,444200,1744826,74.54000000000001,,,,,,,,
Veneto,Venezia,Campagna Lupia,113.5199966430664,30.04999923706055,63.56999969482422,27002,87.58999633789063,6936,3,0,1,79.18712615966797,31283.470703125,2,PAYT,1,1,43.52493450101985,11.2979034852136,9.560022758135686,1.671387264567707,1.699853181558903,7.674301736530421,1.055939541311892,1.97071733016e-06,4.858329145559007,2228940,511179,2740119,81.34999999999999,3,68,9.898176193237305,11.29678535461426,6.353160858154297,4.660782337188721,9.535623550415039,6.543755683898926
Veneto,Venezia,Campolongo Maggiore,101.9499969482422,28.23999977111816,60.61000061035156,27003,23.61000061035156,10342,3,0,1,438.0347290039063,149211.640625,2,PAYT,1,1,42.92405632085276,12.33652967012567,9.176536176153252,1.153400605809951,1.539248917152324,7.867751648009147,1.301915162195097,1.285195920277886,4.881706395919029,2905196,617691,3522887,82.47,3,126,9.898176193237305,11.29678535461426,6.245633602142334,4.439659118652344,9.513881683349609,6.433002610206604
Liguria,Savona,Pietra Ligure,346.8800048828125,61.34000015258789,129.8500061035156,9049,9.880000114440918,8880,3,0,1,898.785400390625,819888.125,2,STANDARD,0,0,,10.00889451817451,8.665766721663305,4.321711204068393,.8696999380902031,5.72666238297783,1.014147900838159,.3155362727833299,3.8786148253903,5537645,2562850,8100495,68.36,3,48,0,16.86346435546875,7.783747673034668,5.220489501953125,9.696678161621094,8.017260103225707
Emilia_Romagna,Ravenna,Ravenna,171.4299926757813,61.84999847412109,66.19000244140625,39014,653.8099975585938,153740,4,0,1,235.1447601318359,177277.90625,1,STANDARD,0,1,,9.799096718583447,5.396418795008589,3.698302395221386,.659973195019267,4.713972230151775,.9474007621222879,.26844754318348,.8512263348138167,68817976,46991425,115906071,59.37,3,1000,33.10504913330078,15.23353004455566,7.169403076171875,5.069627285003662,9.735006332397461,7.384485168457031
